Faculty,Department,Course Title,Course Code,Unit,Level,Course Status,Curriculum Type
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Financial Accounting II","ACC 212","3","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Cost Accounting","ACC 234","3","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Programme Organization And Time-Tabling In Nigerian Schools","EDM 202","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Introduction To Educational Planning And Policy","EDM 204","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","School Business Management","EDM 210","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Educational Management Careers","EDM 212","2","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Teaching Methods In Educational Management","EDM 214","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Introduction To Administrative Behaviour And School","EDM 218","2","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Economics Of Education II","EDM 226","2","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Philosophy Logic and Human Existence and Gender-Based Violence","GNS 212","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","First Aid and Safety Education","HKE 210","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Advanced Financial Accounting II","ACC 302","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Auditing II","ACC 324","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Advanced Management Accounting I","ACC 326","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","EDUCATIONAL FINANCE","EDM 304","2","300","E","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","MANAGING THE TEACHING PROFESSION","EDM 316","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Practicum in Educational Management I","EDM 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","SIWES I","EDM 324","1","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Administration & Management Of Education Resource Centres","EDT 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Developmental Research, Product Packaging & Presentation","EDT 324","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Philosophical Foundations of Education","EFC 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  ANIMAL HUSBANDRY (BEE KEEPING)","ENT 302-1","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  DRAMA AND ENTERTAINMENT (MUSIC)","ENT 302-10","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  EVENT PLANNER","ENT 302-11","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  FISH FARMING (OJO CAMPUS)","ENT 302-12","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  FOOD PROCESSING OPTION 1: LOCAL MEAL NIGERIA (TRADITIONAL FOOD)","ENT 302-13","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  FOOD PROCESSING OPTION 2: SPRING ROLL SAMOSA MOSA PUFF PUFF GRILLED CHICKEN MOCKTAIL (CHAPMAN SUNSET PINA COLADA ETC.)","ENT 302-14","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  FOOD PROCESSING OPTION 3: BREAD MAKING AND CONFECTIONARIES","ENT 302-15","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  FURNISHING AND WOOD WORK","ENT 302-16","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  GENERATING REPAIR","ENT 302-17","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  HAT MAKING","ENT 302-18","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  HOTEL MANAGEMENT","ENT 302-19","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  BEAD MAKING","ENT 302-2","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  HOUSE CLEANING AND LAUNDRY SERVICES","ENT 302-20","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  INTERIOR DECORATORS","ENT 302-21","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  INVERTER CCTV AND TRACKING OF VEHICLE TRAINING","ENT 302-22","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  LEATHER MAKING","ENT 302-23","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  MAKE-UP AND COSMETICS","ENT 302-24","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  MOTOR VEHICLES REPAIRS","ENT 302-25","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  PAINT PRODUCTION","ENT 302-26","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  PHOTOGRAPHY","ENT 302-27","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  PRINTING SERVICES","ENT 302-28","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  SETTING UP A PHARMACY (LASUCOM)","ENT 302-29","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  BUILDING AND MAINTENANCE OF SWIMMING POOL","ENT 302-3","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  SNAIL BREEDING GRASS CUTTER BREEDING","ENT 302-30","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  SOAP DETERGENT & TOILETRIES PROD. (OJO/ EPE CAMPUS)","ENT 302-31","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  SOLAR ENERGY/PANEL DEVELOPMENT","ENT 302-32","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  TAILORING AND FASHION DESIGN","ENT 302-33","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  WATER TREATMENT & PACKAGING","ENT 302-34","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  WEBSITE DEVELOPMENT AND DIGITAL MARKETING EG. BLOGGER","ENT 302-35","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  WELDING METAL WORKS & FABRICATION (OJO/ EPE CAMPUS)","ENT 302-36","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  WRITING & PUBLISHING","ENT 302-37","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  HAIR MAKING","ENT 302-38","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  CAKE MAKING","ENT 302-39","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  BUILDING DRAWING","ENT 302-4","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: ORGANIC SOAP AND CREAM PRODUCTION","ENT 302-40","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: YOUGHORT PRODUCTION","ENT 302-41","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: TOURISM AND ENTERTAINMENT","ENT 302-42","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: POP/INTERLOCKING/BLOCK MAKING TECHNOLOGY","ENT 302-43","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: CROP BREEDING (PLANTAIN, BANANA SUCKER AND PINEAPPLE)","ENT 302-44","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: DAY OLD CHICKS PRODUCTION","ENT 302-45","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: POULTRY REARING ( LAYERS AND BROILERS FOR EGGS AND MEAT)","ENT 302-46","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: FEASIBILITY AND VISIBILITY STUDIES AND REPORT WRITING","ENT 302-47","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: BAG MAKING","ENT 302-48","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: MAKEUP AND COSMETICS","ENT 302-49","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  COMPUTER & LAPTOP REPAIRS","ENT 302-5","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302: COMPUTER TECHNOLOGY","ENT 302-50","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","ANIMAL PRODUCTS VALUE ADDITION (YOGHURT, ICE CREAM, CONDENSED MILK, PARFAIT, ASUN, SUYA, MEAT POWDER AND EGG PRODUCTS)","ENT 302-51","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","AQUACULTURE AND FISH BREEDING (FINGERLINGS AND FRY PRODUCTION)","ENT 302-52","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","ANIMAL HUSBANDRY","ENT 302-53","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  EVENT PLANNING","ENT 302-54","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","HOME INTERIOR DECORATION & SOFT FURNISHING","ENT 302-55","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","SOLAR ENERGY SYSTEM","ENT 302-56","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","CROP PRODUCTION AND PROCESSING","ENT 302-57","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","ORGANIC SKINCARE AND HAIR CARE PRODUCTS","ENT 302-58","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","SOAP MAKING","ENT 302-59","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  CROP FARMING (VEGETABLE PRODUCTION MAIZE AND CASSAVA FARMING) (OJO/ EPE CAMPUS)","ENT 302-6","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PAINT MAKING","ENT 302-60","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","WELDING","ENT 302-61","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","DOMESTIC WIRING","ENT 302-62","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  DOMESTIC ELECTRICAL WIRING","ENT 302-7","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  DRAMA AND ENTERTAINMENT (DRAMA)","ENT 302-8","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  DRAMA AND ENTERTAINMENT (ENTERTAINMENT)","ENT 302-9","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Introduction to Computer Education","EST 326","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Research Methodology","EST 398","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","NATIONAL AND INTERNATIONAL PERSPECTIVE IN EDUCATIONAL MANAGEMENT","EDM 406","2","400","E","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","EDUCATIONAL COST AND FINANCIAL ANALYSIS","EDM 408","2","400","E","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","SIWES","EDM 424","2","400","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Research Project","EST 498","4","400","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Introduction to General Language Teaching","AED 142","2","100","R","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Language Drills","ARA 102","2","100","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Introduction to Arabic Literature","ARA 104","2","100","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic Communication II","ARA 106","2","100","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Introduction to Varieties of Arabic","ARA 108","2","100","R","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","General Introduction to Arabic Linguistics","ARA 110","2","100","R","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Teaching the Genres of Literature","ENE 102","2","100","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Use of Yoruba Language and Culture: Basic Communication Concepts","GNS 104","2","100","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Nigerian Peoples and Culture","GNS 112","2","100","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic For Special Purposes","ARA 202","2","200","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Introduction To General Linguistics","ARA 204","2","200","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic Literature In The Preislamic And Early Islamic Periods","ARA 206","2","200","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Media Arabic","ARA 208","2","200","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Textual Study Of Quran And Hadith","ARA 210","2","200","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Development Of Arabic Grammatical Studies","ARA 212","2","200","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Philosophy Logic and Human Existence and Gender-Based Violence","GNS 212","2","200","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","First Aid and Safety Education","HKE 210","2","200","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic Language Methods And Strategies Of Teaching","LAS 242","2","200","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic Rhetorics II","ALL 304","2","300","E","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic Reader IV (Major)","ALL 306","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Arabic Literature in Early Islamic and Umayyad Periods","ALL 312","2","300","E","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Novel and Play","ARA 314","2","300","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Rhetoric I","ARA 316","2","300","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Phonetics and Phonology","ARA 318","2","300","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Methods of Research","ARA 320","2","300","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Information and Communication Technology for Arabic","ARA 322","2","300","E","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Introduction to Computer","CMP 300","2","300","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Educational Measurements Tests Research Methods and Statistics","EDU 302","3","300","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Trransformation in Nigeria Education","EFC 320","2","300","E","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Philosophical Foundations of Education","EFC 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Professional Entrepreneurship","ENT 1000","0","300","C","CCMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","Practical Entrepreneurship","ENT 302","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  ANIMAL HUSBANDRY (BEE KEEPING)","ENT 302-1","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  DRAMA AND ENTERTAINMENT (MUSIC)","ENT 302-10","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  EVENT PLANNER","ENT 302-11","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  FISH FARMING (OJO CAMPUS)","ENT 302-12","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  FOOD PROCESSING OPTION 1: LOCAL MEAL NIGERIA (TRADITIONAL FOOD)","ENT 302-13","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  FOOD PROCESSING OPTION 2: SPRING ROLL SAMOSA MOSA PUFF PUFF GRILLED CHICKEN MOCKTAIL (CHAPMAN SUNSET PINA COLADA ETC.)","ENT 302-14","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  FOOD PROCESSING OPTION 3: BREAD MAKING AND CONFECTIONARIES","ENT 302-15","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  FURNISHING AND WOOD WORK","ENT 302-16","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  GENERATING REPAIR","ENT 302-17","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  HAT MAKING","ENT 302-18","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  HOTEL MANAGEMENT","ENT 302-19","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  BEAD MAKING","ENT 302-2","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  HOUSE CLEANING AND LAUNDRY SERVICES","ENT 302-20","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  INTERIOR DECORATORS","ENT 302-21","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  INVERTER CCTV AND TRACKING OF VEHICLE TRAINING","ENT 302-22","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  LEATHER MAKING","ENT 302-23","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  MAKE-UP AND COSMETICS","ENT 302-24","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  MOTOR VEHICLES REPAIRS","ENT 302-25","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  PAINT PRODUCTION","ENT 302-26","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  PHOTOGRAPHY","ENT 302-27","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  PRINTING SERVICES","ENT 302-28","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  SETTING UP A PHARMACY (LASUCOM)","ENT 302-29","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  BUILDING AND MAINTENANCE OF SWIMMING POOL","ENT 302-3","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  SNAIL BREEDING GRASS CUTTER BREEDING","ENT 302-30","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  SOAP DETERGENT & TOILETRIES PROD. (OJO/ EPE CAMPUS)","ENT 302-31","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  SOLAR ENERGY/PANEL DEVELOPMENT","ENT 302-32","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  TAILORING AND FASHION DESIGN","ENT 302-33","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  WATER TREATMENT & PACKAGING","ENT 302-34","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  WEBSITE DEVELOPMENT AND DIGITAL MARKETING EG. BLOGGER","ENT 302-35","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  WELDING METAL WORKS & FABRICATION (OJO/ EPE CAMPUS)","ENT 302-36","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  WRITING & PUBLISHING","ENT 302-37","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  HAIR MAKING","ENT 302-38","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  CAKE MAKING","ENT 302-39","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302:  BUILDING DRAWING","ENT 302-4","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302: ORGANIC SOAP AND CREAM PRODUCTION","ENT 302-40","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302: YOUGHORT PRODUCTION","ENT 302-41","2","300","C","BMAS"
"FACULTY OF EDUCATION","ARABIC EDUCATION","PRACTICAL ENT 302: TOURISM AND ENTERTAINMENT","ENT 302-42","2","300","C","BMAS"
